Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.75,0.01,2.13,1.92,41.11,0.0,0.25,107.0,133.0,148.1,133.44,0.0,0.53,0.002,0.2,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.8,0.02,2.21,1.96,41.12,0.0,0.28,107.0,133.0,148.12,133.44,0.01,0.54,0.069,0.236,0.0,0.0,0.0,0.0,0.0,-7.996,0.0
0.8500000000000001,0.04,2.29,2.01,41.14,0.0,0.3,107.0,133.0,148.14,133.44,0.01,0.56,0.121,0.272,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.9,0.01,2.37,2.07,41.17,0.0,0.33,107.0,133.0,148.16,133.44,0.0,0.57,-0.192,0.309,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.9500000000000001,0.04,2.46,2.13,41.19,0.0,0.36,107.0,133.0,148.19,133.44,0.01,0.59,0.167,0.345,0.0,0.0,0.0,0.0,0.0,-7.996,0.0
1.0,0.01,2.56,2.2,41.22,0.0,0.39,107.0,133.0,148.21,133.44,0.0,0.61,-0.159,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.05,0.04,2.66,2.27,41.24,0.0,0.42,107.0,133.0,148.24,133.44,0.01,0.63,0.202,0.414,0.02,0.0,0.4,0.0,0.4,7.996,0.0
1.1,0.02,2.76,2.35,41.27,0.0,0.45,107.0,133.0,148.27,133.44,0.01,0.65,-0.139,0.448,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
1.1500000000000001,0.06,2.87,2.44,41.3,0.0,0.49,107.0,133.0,148.3,133.44,0.02,0.68,0.232,0.479,0.02,0.0,0.4,0.0,0.4,0.0,0.0
1.2000000000000002,0.04,2.98,2.53,41.33,0.0,0.52,107.0,133.0,148.34,133.44,0.01,0.7,-0.121,0.508,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
1.25,0.08,3.1,2.63,41.37,0.01,0.56,107.0,133.0,148.37,133.44,0.02,0.73,0.251,0.535,0.02,0.0,0.4,0.0,0.4,0.0,0.0
1.3,0.06,3.22,2.73,41.41,0.01,0.6,107.01,133.0,148.41,133.44,0.02,0.76,-0.106,0.559,0.02,0.0,-0.0,0.0,0.0,-7.996,0.0
1.35,0.11,3.34,2.83,41.44,0.01,0.64,107.01,133.0,148.45,133.44,0.03,0.79,0.267,0.582,0.04,0.0,0.403,0.0,0.403,8.057,0.0
1.4000000000000001,0.1,3.46,2.94,41.48,0.01,0.69,107.01,133.0,148.49,133.44,0.03,0.82,-0.092,0.603,0.02,0.0,-0.403,0.0,0.403,0.0,0.0
1.4500000000000002,0.15,3.45,3.04,41.52,0.01,0.73,107.01,133.0,148.53,133.44,0.04,0.84,0.281,0.55,0.04,0.0,0.4,0.0,0.4,-0.061,0.0
1.5,0.13,3.25,3.11,41.57,0.01,0.78,107.01,133.0,148.58,133.44,0.04,0.86,-0.078,0.386,0.04,0.02,0.0,0.403,0.403,0.061,0.0
1.55,0.19,3.7,3.21,41.61,0.02,0.83,107.01,133.0,148.62,133.44,0.05,0.89,0.297,0.579,0.04,0.0,-0.0,-0.403,0.403,-0.0,0.0
1.6,0.17,3.5,3.29,41.66,0.02,0.87,107.02,133.0,148.67,133.44,0.05,0.91,-0.062,0.41,0.04,0.0,0.0,0.0,0.0,-8.057,0.0
1.6500000000000001,0.23,3.97,3.4,41.71,0.02,0.93,107.02,133.0,148.73,133.44,0.06,0.94,0.315,0.614,0.06,0.0,0.4,0.0,0.4,7.996,0.0
1.7000000000000002,0.22,3.76,3.47,41.76,0.02,0.98,107.02,133.0,148.78,133.44,0.06,0.96,-0.05,0.43,0.08,0.0,0.403,0.0,0.403,0.061,0.0
1.75,0.29,4.26,3.59,41.81,0.03,1.04,107.03,133.0,148.84,133.44,0.08,1.0,0.385,0.646,0.06,0.0,-0.403,0.0,0.403,-0.0,0.0
1.8,0.72,4.02,3.67,41.86,0.04,1.09,107.04,133.0,148.89,133.44,0.2,1.02,2.37,0.447,0.16,0.0,2.002,0.0,2.002,31.982,0.0
1.85,0.95,4.55,3.79,41.91,0.05,1.16,107.05,133.0,148.95,133.44,0.26,1.05,1.285,0.674,0.24,0.02,1.596,0.397,1.645,-7.146,0.0
1.9000000000000001,1.14,4.29,3.88,41.95,0.06,1.22,107.06,133.0,149.01,133.44,0.32,1.08,1.049,0.463,0.28,0.02,0.803,0.006,0.803,-16.84,0.0
1.9500000000000002,1.19,4.84,4.01,42.0,0.08,1.28,107.08,133.0,149.08,133.44,0.33,1.12,0.3,0.771,0.32,0.0,0.803,-0.403,0.898,1.908,0.0
2.0,1.16,4.57,4.15,42.05,0.09,1.35,107.09,133.0,149.14,133.44,0.32,1.15,-0.172,0.732,0.34,0.02,0.397,0.397,0.561,-6.739,0.0
2.0500000000000003,1.21,5.14,4.29,42.11,0.11,1.42,107.11,133.01,149.21,133.44,0.33,1.19,0.242,0.8,0.32,0.02,-0.4,0.006,0.4,-3.225,0.0
2.1,1.24,4.85,4.43,42.16,0.13,1.48,107.13,133.01,149.28,133.44,0.34,1.23,0.168,0.752,0.34,0.02,0.4,-0.006,0.4,0.0,0.0
2.15,1.27,5.44,4.57,42.21,0.15,1.56,107.14,133.01,149.35,133.44,0.35,1.27,0.221,0.814,0.36,0.0,0.4,-0.397,0.563,3.268,0.0
2.2,1.36,5.14,4.71,42.27,0.16,1.63,107.16,133.01,149.43,133.44,0.38,1.31,0.447,0.77,0.36,0.02,0.003,0.403,0.403,-3.208,0.0
2.25,1.43,5.74,4.86,42.33,0.18,1.71,107.18,133.01,149.51,133.44,0.4,1.35,0.399,0.822,0.4,0.02,0.797,-0.006,0.797,7.874,0.0
2.3000000000000003,1.65,5.43,5.0,42.38,0.21,1.79,107.21,133.01,149.58,133.44,0.46,1.39,1.22,0.785,0.44,0.02,0.803,0.006,0.803,0.122,0.0
2.35,1.71,6.04,5.15,42.44,0.23,1.87,107.23,133.01,149.66,133.44,0.48,1.43,0.367,0.83,0.46,0.02,0.397,-0.006,0.397,-8.117,0.0
2.4000000000000004,1.97,5.73,5.29,42.49,0.25,1.95,107.25,133.01,149.75,133.44,0.55,1.47,1.447,0.797,0.52,0.02,1.202,0.006,1.202,16.113,0.0
2.45,2.02,6.35,5.44,42.55,0.28,2.04,107.28,133.01,149.83,133.44,0.56,1.51,0.242,0.837,0.54,0.02,0.4,-0.006,0.4,-16.052,0.0
2.5,2.15,6.02,5.59,42.61,0.31,2.12,107.31,133.01,149.92,133.44,0.6,1.55,0.725,0.806,0.6,0.02,1.199,0.006,1.199,15.991,0.0
2.5500000000000003,2.19,6.65,5.74,42.67,0.34,2.21,107.34,133.01,150.01,133.44,0.61,1.59,0.258,0.839,0.6,0.04,0.003,0.397,0.397,-16.052,0.0
2.6,2.22,6.32,5.89,42.73,0.37,2.3,107.37,133.02,150.1,133.44,0.62,1.63,0.147,0.813,0.6,0.02,-0.003,-0.397,0.397,0.0,0.0
2.6500000000000004,2.28,6.95,6.04,42.79,0.4,2.4,107.4,133.02,150.19,133.44,0.63,1.68,0.334,0.839,0.64,0.04,0.8,0.397,0.893,9.917,0.0
2.7,2.36,6.61,6.18,42.85,0.44,2.49,107.43,133.02,150.29,133.44,0.66,1.72,0.469,0.819,0.64,0.02,0.0,-0.403,0.403,-9.795,0.0
2.75,2.44,7.25,6.33,42.92,0.47,2.59,107.47,133.02,150.38,133.44,0.68,1.76,0.409,0.838,0.66,0.04,0.403,0.403,0.57,3.337,0.0
2.8000000000000003,2.53,6.91,6.48,42.98,0.5,2.69,107.5,133.02,150.48,133.44,0.7,1.8,0.498,0.821,0.7,0.02,0.797,-0.397,0.89,6.403,0.0
2.85,2.64,7.54,6.63,43.05,0.54,2.79,107.54,133.02,150.59,133.44,0.73,1.84,0.628,0.835,0.72,0.04,0.403,0.397,0.565,-6.489,0.0
2.9000000000000004,2.76,7.21,6.78,43.11,0.58,2.89,107.58,133.03,150.69,133.44,0.77,1.88,0.652,0.822,0.74,0.04,0.397,-0.0,0.397,-3.373,0.0
2.95,2.89,7.84,6.93,43.18,0.62,3.0,107.62,133.03,150.79,133.44,0.8,1.93,0.713,0.83,0.8,0.04,1.202,0.0,1.202,16.113,0.0
3.0,3.02,7.5,7.08,43.24,0.66,3.1,107.66,133.03,150.9,133.44,0.84,1.97,0.751,0.822,0.82,0.04,0.4,0.0,0.4,-16.052,0.0
3.0500000000000003,3.16,8.14,7.23,43.31,0.7,3.22,107.7,133.03,151.01,133.44,0.88,2.01,0.778,0.826,0.86,0.04,0.8,-0.0,0.8,7.996,0.0
3.1,3.3,7.8,7.38,43.38,0.75,3.33,107.75,133.04,151.12,133.44,0.92,2.05,0.743,0.823,0.9,0.06,0.803,0.403,0.898,1.969,0.0
3.1500000000000004,3.43,8.43,7.52,43.45,0.79,3.44,107.79,133.04,151.24,133.44,0.95,2.09,0.724,0.825,0.94,0.04,0.797,-0.403,0.893,-0.109,0.0
3.2,3.53,8.1,7.67,43.51,0.84,3.56,107.84,133.04,151.35,133.44,0.98,2.13,0.588,0.826,0.96,0.06,0.4,0.397,0.563,-6.587,0.0
3.25,3.6,8.73,7.82,43.58,0.89,3.68,107.89,133.04,151.47,133.44,1.0,2.17,0.378,0.825,1.0,0.04,0.803,-0.391,0.893,6.588,0.0
3.3000000000000003,3.63,8.4,7.97,43.65,0.94,3.79,107.94,133.04,151.59,133.44,1.01,2.21,0.189,0.829,1.0,0.06,-0.0,0.391,0.391,-10.04,0.0
3.35,3.67,9.02,8.12,43.72,0.99,3.92,107.99,133.05,151.71,133.44,1.02,2.25,0.183,0.817,1.0,0.06,-0.003,0.006,0.007,-7.676,0.0
3.4000000000000004,3.71,8.66,8.26,43.8,1.04,4.04,108.04,133.05,151.84,133.44,1.03,2.3,0.225,0.809,1.02,0.06,0.403,-0.006,0.403,7.921,0.0
3.45,3.77,9.25,8.4,43.87,1.09,4.17,108.09,133.05,151.96,133.44,1.05,2.33,0.372,0.781,1.04,0.06,0.4,0.006,0.4,-0.061,0.0
3.5,3.87,8.87,8.54,43.94,1.15,4.29,108.15,133.06,152.09,133.44,1.07,2.37,0.507,0.761,1.06,0.04,0.4,-0.403,0.568,3.354,0.0
3.5500000000000003,3.99,9.43,8.67,44.02,1.2,4.42,108.2,133.06,152.22,133.44,1.11,2.41,0.665,0.721,1.1,0.08,0.797,0.8,1.129,11.221,0.0
3.6,4.12,9.04,8.79,44.09,1.26,4.55,108.26,133.06,152.34,133.44,1.14,2.44,0.749,0.69,1.12,0.06,0.406,-0.397,0.568,-11.22,0.0
3.6500000000000004,4.26,9.58,8.91,44.16,1.32,4.68,108.32,133.07,152.48,133.44,1.18,2.47,0.804,0.64,1.18,0.06,1.196,-0.006,1.196,12.575,0.0
3.7,4.4,9.18,9.02,44.23,1.38,4.81,108.38,133.07,152.6,133.44,1.22,2.5,0.772,0.599,1.2,0.08,0.4,0.409,0.572,-12.488,0.0
3.75,4.53,9.71,9.11,44.3,1.44,4.94,108.44,133.07,152.74,133.44,1.26,2.53,0.726,0.542,1.24,0.06,0.803,-0.409,0.901,6.578,0.0
3.8000000000000003,4.65,9.29,9.2,44.37,1.5,5.07,108.5,133.08,152.87,133.44,1.29,2.56,0.638,0.493,1.28,0.08,0.797,0.403,0.893,-0.164,0.0
3.85,4.75,9.81,9.28,44.44,1.57,5.21,108.57,133.08,153.0,133.44,1.32,2.58,0.581,0.439,1.3,0.08,0.403,0.0,0.403,-9.795,0.0
3.9000000000000004,4.85,9.38,9.35,44.5,1.64,5.34,108.63,133.09,153.13,133.44,1.35,2.6,0.528,0.399,1.34,0.08,0.8,0.006,0.8,7.935,0.0
3.95,4.94,9.89,9.42,44.57,1.7,5.47,108.7,133.09,153.27,133.44,1.37,2.62,0.529,0.356,1.36,0.08,0.4,-0.006,0.4,-7.995,0.0
4.0,5.04,9.76,9.51,44.64,1.77,5.61,108.77,133.09,153.41,133.44,1.4,2.64,0.544,0.493,1.38,0.08,0.4,0.0,0.4,-0.001,0.0
4.05,5.15,10.23,9.59,44.71,1.85,5.75,108.84,133.1,153.55,133.44,1.43,2.66,0.589,0.442,1.42,0.1,0.8,0.403,0.895,9.91,0.0
4.1000000000000005,5.26,9.77,9.66,44.77,1.92,5.89,108.91,133.1,153.68,133.44,1.46,2.68,0.625,0.403,1.44,0.08,0.4,-0.403,0.568,-6.555,0.0
4.15,5.38,10.23,9.72,44.84,1.99,6.03,108.99,133.11,153.83,133.44,1.49,2.7,0.661,0.358,1.48,0.1,0.8,0.397,0.893,6.501,0.0
4.2,5.5,9.77,9.78,44.9,2.07,6.17,109.06,133.11,153.96,133.44,1.53,2.72,0.674,0.326,1.52,0.08,0.803,-0.397,0.895,0.055,0.0
4.25,5.62,10.23,9.83,44.96,2.14,6.31,109.14,133.12,154.1,133.44,1.56,2.73,0.682,0.29,1.54,0.1,0.397,0.403,0.565,-6.598,0.0
4.3,5.75,9.77,9.88,45.02,2.22,6.44,109.22,133.12,154.24,133.44,1.6,2.75,0.684,0.264,1.58,0.1,0.803,0.0,0.803,4.744,0.0
4.3500000000000005,5.87,10.23,9.92,45.08,2.31,6.59,109.3,133.13,154.38,133.44,1.63,2.76,0.68,0.235,1.62,0.1,0.8,-0.0,0.8,-0.061,0.0
4.4,5.99,9.77,9.96,45.14,2.39,6.72,109.38,133.13,154.52,133.44,1.66,2.77,0.677,0.214,1.64,0.1,0.4,-0.006,0.4,-7.995,0.0
4.45,6.11,10.23,10.0,45.19,2.47,6.86,109.47,133.14,154.66,133.44,1.7,2.78,0.674,0.191,1.68,0.12,0.8,0.403,0.895,9.91,0.0
4.5,6.23,9.77,10.0,45.24,2.56,7.0,109.55,133.14,154.8,133.44,1.73,2.78,0.675,0.004,1.72,0.1,0.8,-0.397,0.893,-0.055,0.0
4.55,6.36,10.23,10.0,45.3,2.64,7.14,109.64,133.15,154.94,133.44,1.77,2.78,0.68,0.001,1.74,0.12,0.4,0.397,0.563,-6.587,0.0
4.6000000000000005,6.48,9.77,10.0,45.35,2.73,7.28,109.73,133.15,155.07,133.44,1.8,2.78,0.687,-0.001,1.78,0.12,0.8,0.006,0.8,4.727,0.0
4.65,6.61,10.23,10.0,45.39,2.83,7.42,109.82,133.16,155.21,133.44,1.83,2.78,0.696,0.001,1.82,0.12,0.803,-0.006,0.803,0.061,0.0
4.7,6.73,9.77,10.0,45.44,2.92,7.56,109.91,133.16,155.35,133.44,1.87,2.78,0.705,-0.001,1.86,0.1,0.8,-0.403,0.895,1.853,0.0
4.75,6.86,10.23,10.0,45.49,3.01,7.7,110.01,133.17,155.49,133.44,1.91,2.78,0.712,0.001,1.88,0.14,0.4,0.806,0.899,0.082,0.0
4.800000000000001,6.99,9.77,10.0,45.53,3.11,7.83,110.1,133.18,155.63,133.44,1.94,2.78,0.718,-0.001,1.92,0.12,0.797,-0.403,0.893,-0.136,0.0
4.8500000000000005,7.12,10.23,10.0,45.57,3.21,7.97,110.2,133.18,155.77,133.44,1.98,2.78,0.723,0.0,1.96,0.12,0.803,0.006,0.803,-1.799,0.0
4.9,7.25,9.77,10.0,45.61,3.31,8.11,110.3,133.19,155.91,133.44,2.01,2.78,0.726,-0.0,2.0,0.14,0.803,0.391,0.893,1.8,0.0
4.95,7.38,10.23,10.0,45.65,3.41,8.25,110.4,133.2,156.05,133.44,2.05,2.78,0.729,0.0,2.04,0.12,0.797,-0.391,0.887,-0.11,0.0
5.0,7.51,9.76,10.0,45.68,3.51,8.39,110.51,133.2,156.18,133.44,2.09,2.78,0.731,-0.0,2.06,0.14,0.4,0.391,0.559,-6.564,0.0
5.050000000000001,7.64,10.23,10.0,45.71,3.62,8.53,110.61,133.21,156.32,133.44,2.12,2.78,0.69,0.0,2.1,0.14,0.803,0.006,0.803,4.874,0.0
5.1000000000000005,7.77,9.76,10.0,45.74,3.72,8.67,110.72,133.22,156.46,133.44,2.16,2.78,0.724,-0.0,2.14,0.12,0.8,-0.403,0.895,1.853,0.0
5.15,7.92,10.23,10.0,45.78,3.83,8.81,110.83,133.22,156.6,133.44,2.2,2.78,0.836,0.0,2.18,0.14,0.8,0.403,0.895,-0.0,0.0
5.2,8.08,9.76,10.0,45.8,3.95,8.94,110.94,133.23,156.74,133.44,2.24,2.78,0.904,-0.0,2.22,0.16,0.8,0.397,0.893,-0.055,0.0
5.25,8.25,10.23,10.0,45.83,4.06,9.09,111.05,133.24,156.88,133.44,2.29,2.78,0.938,0.0,2.28,0.14,1.199,-0.397,1.263,7.414,0.06
5.300000000000001,8.4,9.76,10.0,45.85,4.17,9.22,111.17,133.25,157.02,133.44,2.33,2.78,0.828,-0.0,2.3,0.14,0.4,-0.0,0.4,-17.269,0.15
5.3500000000000005,8.53,10.23,10.0,45.87,4.29,9.36,111.29,133.25,157.16,133.44,2.37,2.78,0.751,0.0,2.36,0.14,1.202,0.0,1.202,16.052,0.24
5.4,8.7,9.76,10.0,45.89,4.41,9.5,111.4,133.26,157.3,133.44,2.42,2.78,0.905,-0.0,2.38,0.16,0.397,0.397,0.561,-12.827,0.35
5.45,8.89,10.23,10.0,45.91,4.53,9.64,111.53,133.27,157.44,133.44,2.47,2.78,1.092,0.0,2.44,0.14,1.202,-0.397,1.266,14.102,0.49
5.5,9.11,9.76,10.0,45.92,4.66,9.78,111.65,133.28,157.57,133.44,2.53,2.78,1.184,-0.0,2.52,0.16,1.599,0.397,1.648,7.629,0.63
5.550000000000001,9.32,10.23,10.0,45.93,4.79,9.92,111.78,133.28,157.71,133.44,2.59,2.78,1.192,0.0,2.56,0.16,0.8,-0.0,0.8,-16.961,0.79
5.6000000000000005,9.53,9.76,10.0,45.94,4.92,10.06,111.91,133.29,157.85,133.44,2.65,2.78,1.134,-0.0,2.62,0.16,1.202,0.006,1.202,8.057,0.93
5.65,9.71,10.23,10.0,45.95,5.05,10.2,112.04,133.3,157.99,133.44,2.7,2.78,1.035,0.0,2.66,0.16,0.797,-0.006,0.797,-8.118,1.07
5.7,9.88,9.76,10.0,45.95,5.19,10.33,112.18,133.31,158.13,133.44,2.74,2.78,0.921,-0.0,2.72,0.16,1.202,0.0,1.202,8.117,1.2
5.75,10.03,10.23,10.0,45.95,5.33,10.47,112.32,133.32,158.27,133.44,2.78,2.78,0.825,0.0,2.76,0.16,0.8,0.0,0.8,-8.057,1.31
5.800000000000001,10.16,9.76,10.0,45.95,5.47,10.61,112.46,133.32,158.41,133.44,2.82,2.78,0.754,-0.0,2.82,0.16,1.199,0.006,1.199,7.996,1.42
5.8500000000000005,10.29,10.23,10.0,45.95,5.61,10.75,112.6,133.33,158.55,133.44,2.86,2.78,0.716,0.0,2.84,0.16,0.4,-0.006,0.4,-15.991,1.52
5.9,10.42,9.76,10.0,45.94,5.75,10.89,112.74,133.34,158.68,133.44,2.89,2.78,0.724,-0.0,2.86,0.16,0.403,0.0,0.403,0.06,1.62
5.95,10.56,10.23,10.0,45.94,5.9,11.03,112.89,133.35,158.82,133.44,2.93,2.78,0.769,0.0,2.92,0.18,1.196,0.403,1.262,17.189,1.74
6.0,10.71,9.76,10.0,45.92,6.05,11.17,113.04,133.36,158.96,133.44,2.97,2.78,0.832,-0.0,2.96,0.16,0.803,-0.403,0.898,-7.285,1.86
6.050000000000001,10.87,10.23,10.0,45.92,6.2,11.31,113.19,133.37,159.1,133.44,3.02,2.78,0.895,0.0,2.98,0.16,0.397,0.006,0.397,-10.025,1.99
6.1000000000000005,11.04,9.76,10.0,45.9,6.35,11.44,113.34,133.37,159.24,133.44,3.07,2.78,0.942,-0.0,3.06,0.16,1.602,-0.006,1.602,24.108,2.14
6.15,11.21,10.23,10.0,45.89,6.51,11.59,113.49,133.38,159.38,133.44,3.11,2.78,0.965,0.0,3.08,0.16,0.403,0.0,0.403,-23.987,2.29
6.2,11.39,9.76,10.0,45.87,6.66,11.72,113.65,133.39,159.52,133.44,3.16,2.78,0.963,-0.0,3.14,0.16,1.196,0.006,1.196,15.869,2.44
6.25,11.56,10.23,10.0,45.85,6.82,11.86,113.81,133.4,159.66,133.44,3.21,2.78,0.94,0.0,3.2,0.16,1.199,-0.006,1.199,0.061,2.59
6.300000000000001,11.72,9.76,10.0,45.82,6.98,12.0,113.97,133.4,159.8,133.44,3.26,2.78,0.906,-0.0,3.22,0.14,0.403,-0.397,0.565,-12.679,2.73
6.3500000000000005,11.88,10.23,10.0,45.8,7.15,12.14,114.14,133.41,159.94,133.44,3.3,2.78,0.872,0.0,3.28,0.16,1.199,0.397,1.263,13.957,2.88
6.4,12.03,9.76,10.0,45.77,7.31,12.28,114.3,133.42,160.07,133.44,3.34,2.78,0.844,-0.0,3.32,0.16,0.8,0.0,0.8,-9.274,3.02
6.45,12.18,10.23,10.0,45.74,7.48,12.42,114.47,133.43,160.21,133.44,3.38,2.78,0.828,0.0,3.36,0.16,0.8,0.0,0.8,-0.0,3.16
6.5,12.33,9.76,10.0,45.71,7.65,12.56,114.64,133.43,160.35,133.44,3.42,2.78,0.827,-0.0,3.4,0.14,0.8,-0.397,0.893,1.86,3.3
6.550000000000001,12.48,10.23,10.0,45.68,7.83,12.7,114.81,133.44,160.49,133.44,3.47,2.78,0.838,0.0,3.46,0.16,1.202,0.397,1.266,7.472,3.44
6.6000000000000005,12.63,9.76,10.0,45.64,8.0,12.83,114.99,133.45,160.63,133.44,3.51,2.78,0.857,-0.0,3.48,0.14,0.397,-0.397,0.561,-14.102,3.59
6.65,12.79,10.23,10.0,45.61,8.18,12.97,115.16,133.46,160.77,133.44,3.55,2.78,0.88,0.0,3.54,0.14,1.202,0.0,1.202,12.827,3.75
6.7,12.95,9.76,10.0,45.57,8.36,13.11,115.34,133.46,160.91,133.44,3.6,2.78,0.9,-0.0,3.56,0.14,0.4,0.0,0.4,-16.052,3.91
6.75,13.1,10.23,10.0,45.52,8.54,13.25,115.52,133.47,161.05,133.44,3.64,2.78,0.816,0.0,3.62,0.14,1.199,-0.006,1.199,15.992,4.05
6.800000000000001,13.2,9.76,10.0,45.48,8.72,13.39,115.71,133.48,161.18,133.44,3.67,2.78,0.566,-0.0,3.66,0.14,0.8,0.006,0.8,-7.995,4.16
6.8500000000000005,13.27,10.23,10.0,45.44,8.9,13.53,115.89,133.48,161.32,133.44,3.69,2.78,0.371,0.0,3.68,0.12,0.4,-0.403,0.568,-4.641,4.23
6.9,13.32,9.76,10.0,45.39,9.09,13.67,116.07,133.49,161.46,133.44,3.7,2.78,0.301,-0.0,3.68,0.12,0.0,0.006,0.006,-11.229,4.28
6.95,13.38,10.23,10.0,45.34,9.27,13.81,116.26,133.5,161.6,133.44,3.72,2.78,0.336,0.0,3.72,0.14,0.803,0.391,0.893,17.73,4.34
7.0,13.47,9.76,10.0,45.29,9.46,13.94,116.45,133.5,161.74,133.44,3.74,2.78,0.497,-0.0,3.72,0.1,-0.003,-0.793,0.793,-1.983,4.44
7.050000000000001,13.59,10.23,10.0,45.25,9.65,14.09,116.63,133.51,161.88,133.44,3.78,2.78,0.681,0.0,3.76,0.12,0.803,0.397,0.895,2.037,4.57
7.1000000000000005,13.75,9.76,10.0,45.19,9.84,14.22,116.82,133.51,162.02,133.44,3.82,2.78,0.847,-0.0,3.8,0.12,0.797,0.006,0.797,-1.976,4.73
7.15,13.92,10.23,10.0,45.14,10.03,14.36,117.02,133.52,162.16,133.44,3.87,2.78,0.961,0.0,3.84,0.1,0.803,-0.409,0.901,2.085,4.91
7.2,14.1,9.76,10.0,45.08,10.23,14.5,117.21,133.52,162.29,133.44,3.92,2.78,1.006,-0.0,3.9,0.1,1.199,0.006,1.199,5.971,5.11
7.25,14.28,10.23,10.0,45.03,10.42,14.64,117.41,133.53,162.44,133.44,3.97,2.78,0.985,0.0,3.94,0.1,0.8,0.0,0.8,-7.996,5.3
7.300000000000001,14.44,9.76,10.0,44.97,10.62,14.78,117.61,133.53,162.57,133.44,4.01,2.78,0.913,-0.0,4.0,0.1,1.202,-0.006,1.202,8.057,5.48
7.3500000000000005,14.59,10.23,10.0,44.9,10.82,14.92,117.81,133.54,162.71,133.44,4.05,2.78,0.808,0.0,4.04,0.1,0.797,0.006,0.797,-8.118,5.65
