Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.7000000000000001,0.06,0.66,1.21,16.0,0.0,0.7,107.0,133.0,123.0,133.43,0.02,0.34,0.227,-3.949,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.75,0.03,0.62,0.78,16.0,0.0,0.71,107.0,133.0,123.0,133.43,0.01,0.22,-0.126,-2.375,0.02,0.0,0.0,0.0,0.0,-7.996,0.0
0.8,0.08,0.58,0.81,16.0,0.0,0.71,107.0,133.0,123.0,133.43,0.02,0.23,0.246,0.164,0.0,0.0,-0.4,0.0,0.4,7.996,0.0
0.8500000000000001,0.06,0.55,0.74,16.0,0.0,0.72,107.0,133.0,123.0,133.43,0.02,0.21,-0.111,-0.397,0.02,0.0,0.4,0.0,0.4,-0.0,0.0
0.9,0.1,0.51,0.69,16.0,0.01,0.72,107.01,133.0,123.0,133.43,0.03,0.19,0.261,-0.251,0.04,0.0,0.4,0.0,0.4,0.0,0.0
0.9500000000000001,0.09,0.48,0.65,16.0,0.01,0.73,107.01,133.0,123.0,133.43,0.02,0.18,-0.097,-0.238,0.02,0.0,-0.397,0.0,0.397,-0.061,0.0
1.0,0.14,0.76,0.64,16.01,0.01,0.74,107.01,133.0,123.01,133.43,0.04,0.18,0.276,-0.051,0.02,0.0,-0.003,0.0,0.003,-7.874,0.0
1.05,0.12,1.29,0.69,16.02,0.01,0.76,107.01,133.0,123.02,133.42,0.03,0.19,-0.089,0.27,0.04,0.0,0.4,0.0,0.4,7.935,0.0
1.1,0.17,0.8,0.7,16.03,0.01,0.77,107.01,133.0,123.04,133.42,0.05,0.19,0.279,0.028,0.04,0.02,0.0,0.403,0.403,0.061,0.0
1.1500000000000001,0.16,1.49,0.77,16.05,0.02,0.79,107.01,133.0,123.06,133.42,0.04,0.21,-0.081,0.435,0.06,0.0,0.4,-0.403,0.568,3.294,0.0
1.2000000000000002,0.21,1.0,0.81,16.06,0.02,0.8,107.02,133.0,123.07,133.42,0.06,0.22,0.295,0.189,0.04,0.0,-0.4,0.0,0.4,-3.355,0.0
1.25,0.2,1.71,0.92,16.08,0.02,0.83,107.02,133.0,123.09,133.42,0.06,0.25,-0.062,0.605,0.06,0.0,0.4,0.0,0.4,0.0,0.0
1.3,0.26,1.23,0.98,16.09,0.02,0.84,107.02,133.0,123.11,133.42,0.07,0.27,0.317,0.362,0.06,0.0,0.003,0.0,0.003,-7.935,0.0
1.35,0.26,1.95,1.12,16.12,0.03,0.87,107.03,133.0,123.14,133.42,0.07,0.31,0.037,0.78,0.08,0.0,0.397,0.0,0.397,7.874,0.0
1.4000000000000001,0.71,1.48,1.22,16.13,0.03,0.89,107.03,133.0,123.16,133.42,0.2,0.34,2.511,0.539,0.14,0.0,1.199,0.0,1.199,16.052,0.0
1.4500000000000002,1.11,2.2,1.39,16.14,0.05,0.92,107.05,133.0,123.19,133.42,0.31,0.39,2.172,0.957,0.28,0.02,2.802,0.397,2.829,32.602,0.0
1.5,1.19,1.74,1.49,16.15,0.06,0.95,107.06,133.0,123.21,133.42,0.33,0.41,0.482,0.545,0.32,0.02,0.803,0.006,0.803,-40.537,0.0
1.55,1.46,2.46,1.61,16.17,0.08,0.98,107.08,133.0,123.25,133.42,0.41,0.45,1.514,0.653,0.38,0.0,1.196,-0.403,1.262,9.193,0.02
1.6,1.45,2.01,1.73,16.18,0.1,1.01,107.1,133.0,123.28,133.42,0.4,0.48,-0.077,0.672,0.38,0.02,0.0,0.397,0.397,-17.311,0.01
1.6500000000000001,1.5,2.73,1.85,16.19,0.12,1.04,107.12,133.01,123.31,133.42,0.42,0.51,0.278,0.689,0.42,0.02,0.803,0.006,0.803,8.118,0.0
1.7000000000000002,1.62,2.28,1.98,16.21,0.14,1.08,107.14,133.01,123.34,133.42,0.45,0.55,0.679,0.71,0.42,0.02,-0.003,-0.006,0.007,-15.916,0.0
1.75,1.66,3.0,2.11,16.22,0.17,1.12,107.17,133.01,123.38,133.42,0.46,0.59,0.186,0.714,0.46,0.02,0.803,0.006,0.803,15.916,0.0
1.8,1.67,2.56,2.24,16.24,0.19,1.15,107.19,133.01,123.42,133.42,0.46,0.62,0.057,0.736,0.48,0.02,0.4,-0.006,0.4,-8.056,0.0
1.85,1.77,3.27,2.37,16.25,0.22,1.2,107.21,133.01,123.46,133.42,0.49,0.66,0.582,0.734,0.48,0.02,-0.003,0.006,0.007,-7.86,0.0
1.9000000000000001,1.77,2.84,2.51,16.27,0.24,1.24,107.24,133.01,123.5,133.42,0.49,0.7,-0.035,0.753,0.5,0.02,0.403,-0.006,0.403,7.921,0.0
1.9500000000000002,1.91,3.55,2.64,16.29,0.27,1.29,107.27,133.01,123.55,133.42,0.53,0.73,0.807,0.748,0.52,0.04,0.4,0.403,0.568,3.293,0.0
2.0,2.02,3.12,2.78,16.31,0.29,1.33,107.29,133.01,123.6,133.42,0.56,0.77,0.616,0.766,0.56,0.02,0.8,-0.397,0.893,6.501,0.0
2.0500000000000003,2.1,3.83,2.92,16.33,0.32,1.38,107.32,133.01,123.65,133.42,0.58,0.81,0.436,0.76,0.56,0.02,-0.0,-0.0,0.0,-17.852,0.0
2.1,2.31,3.41,3.06,16.35,0.35,1.43,107.35,133.02,123.7,133.42,0.64,0.85,1.154,0.776,0.62,0.04,1.199,0.397,1.263,25.265,0.0
2.15,2.51,4.11,3.2,16.37,0.39,1.49,107.39,133.02,123.75,133.42,0.7,0.89,1.129,0.771,0.68,0.02,1.202,-0.403,1.268,0.096,0.0
2.2,2.7,3.7,3.34,16.39,0.42,1.54,107.42,133.02,123.81,133.42,0.75,0.93,1.05,0.787,0.72,0.04,0.797,0.403,0.893,-7.51,0.0
2.25,2.83,4.4,3.48,16.41,0.46,1.6,107.46,133.02,123.87,133.43,0.79,0.97,0.717,0.781,0.78,0.04,1.202,0.0,1.202,6.196,0.0
2.3000000000000003,3.0,3.98,3.62,16.43,0.5,1.66,107.5,133.02,123.92,133.43,0.83,1.01,0.931,0.793,0.8,0.04,0.4,-0.0,0.4,-16.052,0.01
2.35,3.12,4.69,3.76,16.45,0.55,1.72,107.54,133.02,123.99,133.43,0.87,1.05,0.666,0.787,0.86,0.04,1.199,0.0,1.199,15.991,0.01
2.4000000000000004,3.27,4.27,3.91,16.46,0.59,1.78,107.59,133.03,124.05,133.43,0.91,1.09,0.847,0.799,0.88,0.04,0.4,-0.0,0.4,-15.991,0.02
2.45,3.38,4.98,4.05,16.48,0.64,1.85,107.64,133.03,124.11,133.43,0.94,1.12,0.63,0.794,0.94,0.04,1.202,0.006,1.202,16.053,0.02
2.5,3.53,4.57,4.19,16.5,0.69,1.91,107.68,133.03,124.18,133.43,0.98,1.16,0.813,0.805,0.96,0.06,0.397,0.391,0.557,-12.913,0.03
2.5500000000000003,3.64,5.27,4.34,16.52,0.74,1.99,107.73,133.03,124.25,133.43,1.01,1.2,0.644,0.8,1.0,0.04,0.803,-0.397,0.895,6.771,0.03
2.6,3.8,4.86,4.48,16.54,0.79,2.06,107.79,133.04,124.32,133.43,1.05,1.25,0.846,0.808,1.02,0.06,0.4,0.403,0.568,-6.555,0.04
2.6500000000000004,3.93,5.56,4.63,16.56,0.84,2.13,107.84,133.04,124.4,133.43,1.09,1.29,0.737,0.802,1.08,0.06,1.196,-0.006,1.196,12.575,0.05
2.7,4.09,5.15,4.77,16.58,0.9,2.2,107.89,133.04,124.47,133.43,1.14,1.33,0.896,0.809,1.12,0.06,0.803,0.006,0.803,-7.873,0.06
2.75,4.23,5.84,4.92,16.6,0.95,2.28,107.95,133.05,124.55,133.43,1.18,1.37,0.774,0.801,1.16,0.06,0.803,0.0,0.803,-0.0,0.07
2.8000000000000003,4.39,5.44,5.06,16.62,1.01,2.36,108.01,133.05,124.63,133.43,1.22,1.41,0.875,0.81,1.2,0.06,0.797,-0.006,0.797,-0.122,0.09
2.85,4.52,6.13,5.21,16.64,1.08,2.44,108.07,133.05,124.71,133.43,1.26,1.45,0.755,0.8,1.24,0.08,0.8,0.403,0.895,1.975,0.09
2.9000000000000004,4.67,5.73,5.35,16.66,1.14,2.53,108.14,133.06,124.79,133.43,1.3,1.49,0.815,0.809,1.28,0.06,0.803,-0.397,0.895,0.0,0.11
2.95,4.8,6.41,5.5,16.68,1.21,2.61,108.2,133.06,124.88,133.43,1.33,1.53,0.731,0.798,1.3,0.08,0.4,0.397,0.563,-6.642,0.12
3.0,4.94,6.02,5.64,16.7,1.27,2.7,108.27,133.06,124.96,133.43,1.37,1.57,0.769,0.808,1.36,0.08,1.199,0.0,1.199,12.722,0.13
3.0500000000000003,5.07,6.7,5.79,16.72,1.34,2.79,108.34,133.07,125.06,133.43,1.41,1.61,0.722,0.796,1.4,0.08,0.8,-0.0,0.8,-7.996,0.13
3.1,5.2,6.31,5.93,16.74,1.42,2.88,108.41,133.07,125.14,133.43,1.45,1.65,0.747,0.808,1.42,0.08,0.4,0.006,0.4,-7.995,0.14
3.1500000000000004,5.34,6.99,6.07,16.76,1.49,2.97,108.49,133.08,125.24,133.43,1.48,1.69,0.728,0.796,1.46,0.08,0.8,-0.006,0.8,7.995,0.15
3.2,5.47,6.61,6.22,16.78,1.56,3.07,108.56,133.08,125.33,133.43,1.52,1.73,0.732,0.807,1.5,0.1,0.8,0.397,0.893,1.86,0.16
3.25,5.6,7.28,6.36,16.8,1.64,3.17,108.64,133.09,125.43,133.43,1.56,1.77,0.729,0.797,1.54,0.08,0.803,-0.391,0.893,0.001,0.17
3.3000000000000003,5.73,6.9,6.51,16.82,1.72,3.26,108.72,133.09,125.53,133.43,1.59,1.81,0.735,0.808,1.58,0.1,0.8,0.391,0.89,-0.055,0.18
3.35,5.86,7.56,6.65,16.84,1.8,3.37,108.8,133.1,125.63,133.43,1.63,1.85,0.743,0.798,1.6,0.1,0.397,0.006,0.397,-9.862,0.19
3.4000000000000004,6.0,7.19,6.8,16.86,1.88,3.47,108.88,133.1,125.74,133.43,1.67,1.89,0.753,0.81,1.66,0.1,1.202,-0.0,1.202,16.112,0.2
3.45,6.14,7.85,6.94,16.88,1.97,3.58,108.96,133.1,125.84,133.43,1.7,1.93,0.761,0.798,1.68,0.1,0.4,-0.006,0.4,-16.051,0.22
3.5,6.28,7.48,7.09,16.9,2.05,3.68,109.05,133.11,125.95,133.43,1.74,1.97,0.766,0.812,1.72,0.12,0.803,0.403,0.898,9.964,0.23
3.5500000000000003,6.41,8.14,7.23,16.92,2.14,3.79,109.14,133.12,126.06,133.43,1.78,2.01,0.769,0.798,1.76,0.1,0.797,-0.397,0.89,-0.164,0.25
3.6,6.55,7.77,7.38,16.94,2.23,3.9,109.23,133.12,126.17,133.43,1.82,2.05,0.77,0.81,1.8,0.12,0.8,0.397,0.893,0.055,0.26
3.6500000000000004,6.69,8.42,7.52,16.97,2.32,4.02,109.32,133.13,126.29,133.43,1.86,2.09,0.769,0.795,1.84,0.12,0.803,0.006,0.803,-1.799,0.28
3.7,6.83,8.06,7.67,16.99,2.42,4.13,109.41,133.13,126.4,133.43,1.9,2.13,0.768,0.809,1.88,0.1,0.8,-0.409,0.898,1.909,0.29
3.75,6.97,8.7,7.81,17.01,2.51,4.25,109.51,133.14,126.52,133.43,1.94,2.17,0.768,0.793,1.92,0.14,0.8,0.806,1.135,4.74,0.31
3.8000000000000003,7.11,8.35,7.95,17.03,2.61,4.37,109.61,133.15,126.64,133.43,1.97,2.21,0.768,0.807,1.96,0.12,0.8,-0.403,0.895,-4.795,0.32
3.85,7.24,8.99,8.1,17.05,2.71,4.49,109.71,133.15,126.76,133.43,2.01,2.25,0.77,0.79,1.98,0.12,0.4,0.0,0.4,-9.91,0.34
3.9000000000000004,7.38,8.64,8.24,17.07,2.81,4.61,109.81,133.16,126.88,133.43,2.05,2.29,0.773,0.804,2.04,0.14,1.199,0.403,1.265,17.308,0.36
3.95,7.52,9.27,8.38,17.1,2.92,4.74,109.91,133.16,127.01,133.43,2.09,2.33,0.776,0.788,2.06,0.12,0.403,-0.403,0.57,-13.91,0.38
4.0,7.66,8.93,8.53,17.12,3.02,4.87,110.02,133.17,127.13,133.43,2.13,2.37,0.78,0.802,2.12,0.14,1.196,0.403,1.262,13.852,0.4
4.05,7.8,9.55,8.67,17.14,3.13,5.0,110.12,133.18,127.26,133.43,2.17,2.41,0.783,0.786,2.14,0.14,0.403,0.0,0.403,-17.189,0.42
4.1000000000000005,7.95,9.21,8.81,17.16,3.24,5.13,110.24,133.19,127.39,133.43,2.21,2.45,0.786,0.8,2.2,0.14,1.199,-0.0,1.199,15.93,0.44
4.15,8.09,9.83,8.95,17.18,3.35,5.26,110.35,133.19,127.53,133.43,2.25,2.49,0.788,0.785,2.22,0.14,0.4,-0.006,0.4,-15.99,0.47
4.2,8.23,9.5,9.1,17.2,3.47,5.4,110.46,133.2,127.66,133.43,2.29,2.53,0.789,0.799,2.26,0.16,0.8,0.409,0.898,9.965,0.49
4.25,8.37,10.12,9.24,17.23,3.58,5.54,110.57,133.21,127.8,133.43,2.33,2.57,0.791,0.785,2.3,0.14,0.8,-0.409,0.898,0.0,0.51
4.3,8.5,9.79,9.38,17.25,3.7,5.67,110.69,133.22,127.94,133.43,2.36,2.61,0.703,0.799,2.36,0.16,1.202,0.409,1.27,7.439,0.53
4.3500000000000005,8.59,10.4,9.52,17.27,3.82,5.82,110.81,133.22,128.08,133.43,2.38,2.65,0.483,0.784,2.36,0.14,-0.003,-0.403,0.403,-17.344,0.52
4.4,8.65,10.07,9.67,17.29,3.94,5.96,110.93,133.23,128.22,133.43,2.4,2.69,0.333,0.797,2.4,0.16,0.803,0.397,0.895,9.849,0.48
4.45,8.7,10.67,9.81,17.32,4.06,6.1,111.05,133.24,128.37,133.43,2.42,2.72,0.298,0.781,2.4,0.16,0.0,0.0,0.0,-17.906,0.45
4.5,8.76,10.35,9.95,17.34,4.18,6.25,111.17,133.25,128.51,133.43,2.43,2.76,0.364,0.793,2.42,0.14,0.397,-0.397,0.561,11.221,0.42
4.55,8.86,10.95,10.09,17.37,4.3,6.4,111.29,133.25,128.67,133.43,2.46,2.8,0.527,0.777,2.44,0.16,0.403,0.397,0.565,0.087,0.41
4.6000000000000005,8.98,10.64,10.23,17.4,4.43,6.55,111.42,133.26,128.82,133.43,2.5,2.84,0.688,0.789,2.48,0.16,0.8,-0.0,0.8,4.683,0.43
4.65,9.13,11.23,10.37,17.43,4.55,6.7,111.54,133.27,128.97,133.43,2.54,2.88,0.813,0.774,2.52,0.14,0.8,-0.397,0.893,1.86,0.45
4.7,9.29,10.91,10.51,17.45,4.68,6.86,111.67,133.28,129.12,133.43,2.58,2.92,0.881,0.786,2.54,0.16,0.4,0.397,0.563,-6.587,0.49
4.75,9.45,11.5,10.65,17.48,4.81,7.02,111.8,133.29,129.28,133.43,2.62,2.96,0.9,0.769,2.62,0.16,1.602,0.006,1.602,20.779,0.53
4.800000000000001,9.61,11.19,10.79,17.51,4.94,7.17,111.93,133.29,129.44,133.43,2.67,3.0,0.877,0.781,2.64,0.16,0.397,-0.006,0.397,-24.108,0.57
4.8500000000000005,9.76,11.78,10.93,17.53,5.08,7.33,112.07,133.3,129.6,133.43,2.71,3.04,0.819,0.767,2.68,0.16,0.803,0.0,0.803,8.117,0.6
4.9,9.87,11.47,11.07,17.56,5.21,7.5,112.2,133.31,129.76,133.43,2.74,3.08,0.66,0.779,2.74,0.16,1.199,0.006,1.199,7.935,0.61
4.95,9.98,12.05,11.21,17.59,5.35,7.66,112.34,133.32,129.93,133.43,2.77,3.11,0.561,0.765,2.74,0.16,0.0,-0.006,0.006,-23.865,0.61
5.0,10.07,11.75,11.35,17.61,5.49,7.83,112.48,133.33,130.09,133.43,2.8,3.15,0.55,0.778,2.8,0.18,1.199,0.403,1.265,25.182,0.61
5.050000000000001,10.18,12.33,11.49,17.64,5.63,8.0,112.62,133.33,130.26,133.43,2.83,3.19,0.587,0.763,2.8,0.16,-0.0,-0.403,0.403,-17.247,0.61
5.1000000000000005,10.31,12.03,11.63,17.67,5.77,8.16,112.76,133.34,130.43,133.43,2.86,3.23,0.716,0.776,2.84,0.16,0.8,0.0,0.8,7.935,0.63
5.15,10.46,12.6,11.76,17.7,5.92,8.34,112.91,133.35,130.6,133.43,2.9,3.27,0.827,0.762,2.9,0.16,1.199,0.006,1.199,7.996,0.67
5.2,10.62,12.31,11.9,17.72,6.07,8.51,113.05,133.36,130.77,133.43,2.95,3.31,0.914,0.775,2.92,0.16,0.403,-0.006,0.403,-15.93,0.72
5.25,10.79,12.87,12.04,17.75,6.21,8.69,113.2,133.37,130.95,133.43,3.0,3.34,0.955,0.762,2.98,0.14,1.199,-0.397,1.263,17.208,0.77
5.300000000000001,10.95,12.59,12.18,17.78,6.37,8.86,113.35,133.37,131.13,133.43,3.04,3.38,0.842,0.776,3.02,0.16,0.797,0.397,0.89,-7.468,0.81
5.3500000000000005,11.08,13.15,12.32,17.8,6.52,9.05,113.51,133.38,131.31,133.43,3.08,3.42,0.747,0.762,3.06,0.16,0.806,0.0,0.806,-1.684,0.84
5.4,11.22,12.87,12.46,17.83,6.67,9.23,113.66,133.39,131.49,133.43,3.12,3.46,0.78,0.777,3.1,0.16,0.797,0.006,0.797,-0.183,0.87
5.45,11.36,13.43,12.59,17.86,6.83,9.41,113.82,133.4,131.68,133.43,3.16,3.5,0.797,0.763,3.12,0.16,0.4,-0.006,0.4,-7.934,0.91
5.5,11.51,13.15,12.73,17.88,6.99,9.59,113.98,133.4,131.86,133.43,3.2,3.54,0.812,0.777,3.18,0.16,1.199,0.0,1.199,15.99,0.95
5.550000000000001,11.66,13.7,12.87,17.91,7.15,9.78,114.14,133.41,132.05,133.43,3.24,3.58,0.821,0.764,3.22,0.14,0.803,-0.397,0.895,-6.081,0.99
5.6000000000000005,11.81,13.43,13.01,17.94,7.31,9.97,114.3,133.42,132.24,133.43,3.28,3.61,0.826,0.778,3.26,0.16,0.8,0.397,0.893,-0.055,1.03
5.65,11.95,13.98,13.15,17.96,7.48,10.16,114.47,133.43,132.43,133.43,3.32,3.65,0.825,0.765,3.3,0.14,0.8,-0.397,0.893,-0.0,1.07
5.7,12.1,13.71,13.29,17.99,7.65,10.36,114.63,133.43,132.62,133.43,3.36,3.69,0.82,0.779,3.34,0.16,0.8,0.397,0.893,0.0,1.12
5.75,12.25,14.25,13.43,18.02,7.82,10.55,114.8,133.44,132.82,133.43,3.4,3.73,0.814,0.764,3.38,0.14,0.8,-0.397,0.893,-0.0,1.16
5.800000000000001,12.38,13.99,13.57,18.04,7.99,10.75,114.97,133.45,133.01,133.43,3.44,3.77,0.721,0.777,3.44,0.14,1.199,-0.0,1.199,6.135,1.19
5.8500000000000005,12.49,14.52,13.7,18.07,8.16,10.95,115.15,133.46,133.21,133.43,3.47,3.81,0.6,0.763,3.44,0.14,0.003,-0.006,0.007,-23.85,1.19
5.9,12.6,14.27,13.84,18.09,8.33,11.15,115.32,133.46,133.41,133.43,3.5,3.85,0.643,0.776,3.48,0.14,0.797,0.006,0.797,15.794,1.21
5.95,12.76,14.8,13.98,18.12,8.51,11.35,115.5,133.47,133.62,133.43,3.54,3.88,0.864,0.761,3.54,0.14,1.202,0.0,1.202,8.117,1.26
6.0,12.95,14.55,14.12,18.15,8.69,11.56,115.68,133.48,133.82,133.43,3.6,3.92,1.071,0.775,3.56,0.12,0.4,-0.403,0.568,-12.697,1.35
6.050000000000001,13.18,15.07,14.26,18.17,8.87,11.76,115.86,133.48,134.03,133.43,3.66,3.96,1.259,0.759,3.64,0.14,1.599,0.403,1.649,21.631,1.48
6.1000000000000005,13.44,14.83,14.4,18.19,9.06,11.97,116.04,133.49,134.24,133.43,3.73,4.0,1.438,0.775,3.7,0.12,1.199,-0.403,1.265,-7.678,1.64
6.15,13.7,15.34,14.53,18.22,9.25,12.18,116.23,133.49,134.45,133.43,3.81,4.04,1.471,0.757,3.78,0.12,1.602,0.0,1.602,6.74,1.82
6.2,13.93,15.11,14.67,18.24,9.44,12.39,116.42,133.5,134.66,133.43,3.87,4.08,1.255,0.777,3.84,0.14,1.196,0.403,1.262,-6.798,1.95
6.25,14.1,15.61,14.81,18.26,9.63,12.61,116.62,133.51,134.88,133.43,3.92,4.11,0.985,0.758,3.9,0.12,1.202,-0.403,1.268,0.116,2.04
6.300000000000001,14.27,15.4,14.95,18.28,9.83,12.82,116.82,133.51,135.09,133.43,3.96,4.15,0.912,0.781,3.94,0.1,0.803,-0.397,0.895,-7.455,2.11
6.3500000000000005,14.41,15.89,15.09,18.3,10.03,13.04,117.01,133.52,135.31,133.43,4.0,4.19,0.81,0.759,3.98,0.12,0.797,0.397,0.89,-0.109,2.17
6.4,14.54,15.68,15.23,18.31,10.23,13.26,117.21,133.52,135.53,133.43,4.04,4.23,0.721,0.783,4.02,0.1,0.8,-0.397,0.893,0.055,2.21
6.45,14.67,16.16,15.36,18.33,10.43,13.49,117.42,133.53,135.75,133.43,4.07,4.27,0.69,0.758,4.06,0.1,0.803,0.0,0.803,-1.799,2.24
6.5,14.8,15.96,15.5,18.35,10.64,13.71,117.62,133.53,135.98,133.43,4.11,4.31,0.715,0.784,4.1,0.1,0.8,-0.006,0.8,-0.061,2.27
6.550000000000001,14.94,16.43,15.64,18.37,10.84,13.94,117.83,133.54,136.2,133.43,4.15,4.34,0.781,0.76,4.14,0.1,0.8,0.006,0.8,-0.0,2.32
6.6000000000000005,15.09,16.24,15.78,18.39,11.05,14.16,118.04,133.54,136.43,133.43,4.19,4.38,0.868,0.786,4.16,0.08,0.4,-0.403,0.568,-4.641,2.39
6.65,15.26,16.71,15.92,18.41,11.26,14.39,118.25,133.55,136.66,133.43,4.24,4.42,0.951,0.76,4.22,0.1,1.199,0.403,1.265,13.953,2.48
6.7,15.45,16.53,16.06,18.43,11.48,14.62,118.46,133.55,136.89,133.43,4.29,4.46,1.023,0.786,4.28,0.08,1.199,-0.403,1.265,0.0,2.58
6.75,15.64,16.98,16.2,18.45,11.69,14.86,118.68,133.56,137.12,133.43,4.35,4.5,1.073,0.76,4.32,0.08,0.803,0.0,0.803,-9.251,2.7
6.800000000000001,15.84,16.81,16.34,18.46,11.91,15.09,118.9,133.56,137.36,133.43,4.4,4.54,1.083,0.787,4.38,0.06,1.199,-0.397,1.263,9.213,2.82
6.8500000000000005,16.03,17.26,16.48,18.48,12.13,15.33,119.12,133.56,137.6,133.43,4.45,4.58,1.052,0.761,4.42,0.08,0.8,0.397,0.893,-7.414,2.94
6.9,16.21,17.1,16.62,18.49,12.36,15.57,119.34,133.57,137.84,133.43,4.5,4.62,0.993,0.788,4.48,0.06,1.199,-0.403,1.265,7.452,3.04
6.95,16.37,17.53,16.75,18.51,12.59,15.81,119.57,133.57,138.08,133.43,4.55,4.65,0.923,0.761,4.54,0.06,1.199,0.006,1.199,-1.317,3.13
7.0,16.53,17.38,16.9,18.52,12.81,16.06,119.8,133.57,138.32,133.43,4.59,4.69,0.858,0.79,4.56,0.06,0.4,0.0,0.4,-15.992,3.2
7.050000000000001,16.67,17.81,17.03,18.54,13.04,16.3,120.03,133.57,138.57,133.43,4.63,4.73,0.813,0.763,4.62,0.04,1.202,-0.403,1.268,17.366,3.27
7.1000000000000005,16.81,17.67,17.18,18.55,13.28,16.55,120.26,133.58,138.81,133.43,4.67,4.77,0.789,0.792,4.66,0.06,0.8,0.397,0.893,-7.51,3.33
7.15,16.96,17.68,17.27,18.57,13.51,16.8,120.5,133.58,139.06,133.43,4.71,4.8,0.787,0.538,4.7,0.04,0.8,-0.397,0.893,-0.0,3.43
7.2,17.1,18.46,17.47,18.59,13.75,17.05,120.73,133.58,139.32,133.43,4.75,4.85,0.808,1.075,4.72,0.04,0.4,0.0,0.4,-9.856,3.44
7.25,17.25,17.88,17.56,18.6,13.99,17.3,120.97,133.58,139.57,133.43,4.79,4.88,0.845,0.496,4.78,0.04,1.199,0.0,1.199,15.991,3.57
7.300000000000001,17.4,18.93,17.77,18.62,14.23,17.56,121.21,133.58,139.83,133.43,4.83,4.94,0.801,1.176,4.82,0.02,0.8,-0.397,0.893,-6.135,3.57
7.3500000000000005,17.54,18.57,17.9,18.62,14.47,17.81,121.46,133.59,140.08,133.43,4.87,4.97,0.783,0.729,4.86,0.04,0.803,0.397,0.895,0.055,3.64
