Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m)
0.0,0.01,8.82,8.82,11.01,0.0,0.0,107.0,133.0,118.0,133.42
0.05,0.01,10.58,9.7,11.01,0.0,0.14,107.0,133.0,118.0,133.42
0.1,0.01,10.75,10.05,11.01,0.0,0.29,107.0,133.0,118.0,133.42
0.15,0.0,7.77,9.48,11.01,0.0,0.42,107.0,133.0,118.0,133.42
0.2,0.0,4.89,8.56,11.01,0.0,0.5,107.0,133.0,118.0,133.42
0.25,0.0,0.29,7.18,11.01,0.0,0.53,107.0,133.0,118.0,133.42
0.3,0.0,1.26,6.34,11.01,0.0,0.54,107.0,133.0,118.0,133.42
0.35,0.0,1.82,5.77,11.01,0.0,0.56,107.0,133.0,118.0,133.42
0.4,0.0,2.03,5.36,11.01,0.0,0.59,107.0,133.0,118.0,133.42
0.45,0.0,1.97,5.02,11.01,0.0,0.62,107.0,133.0,118.0,133.42
0.5,0.0,1.73,4.31,11.01,0.0,0.65,107.0,133.0,118.0,133.42
0.55,0.0,1.39,3.39,11.01,0.0,0.67,107.0,133.0,118.0,133.42
0.6000000000000001,0.0,1.01,2.41,11.01,0.0,0.68,107.0,133.0,118.0,133.42
0.65,0.0,0.64,1.7,11.01,0.0,0.69,107.0,133.0,118.0,133.42
0.7000000000000001,0.0,0.32,1.24,11.01,0.0,0.7,107.0,133.0,118.0,133.42
0.75,0.0,0.06,1.22,11.01,0.0,0.7,107.0,133.0,118.0,133.42
0.8,0.0,0.13,1.11,11.01,0.0,0.7,107.0,133.0,118.0,133.42
0.8500000000000001,0.0,0.25,0.95,11.01,0.0,0.71,107.0,133.0,118.0,133.42
0.9,0.0,0.31,0.78,11.01,0.0,0.71,107.0,133.0,118.0,133.42
0.95,0.0,0.32,0.61,11.01,0.0,0.71,107.0,133.0,118.0,133.42
1.0,0.0,0.29,0.47,11.01,0.0,0.72,107.0,133.0,118.0,133.42
1.05,0.0,0.24,0.36,11.01,0.0,0.72,107.0,133.0,118.0,133.42
1.1,0.0,0.19,0.27,11.01,0.0,0.72,107.0,133.0,118.0,133.42
1.15,0.0,0.13,0.22,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.2000000000000002,0.0,0.07,0.2,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.25,0.0,0.03,0.19,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.3,0.0,0.01,0.18,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.35,0.0,0.03,0.16,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.4,0.0,0.0,0.13,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.4500000000000002,0.0,0.0,0.1,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.5,0.0,0.0,0.07,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.55,0.0,0.0,0.05,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.6,0.0,0.0,0.03,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.65,0.0,0.0,0.01,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.7000000000000002,0.0,0.0,0.01,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.75,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.8,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.85,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.9,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
1.95,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.0,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.0500000000000003,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.1,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.15,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.2,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.25,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.3000000000000003,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.35,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.4000000000000004,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.45,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.5,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.5500000000000003,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.6,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.6500000000000004,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.7,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.75,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.8000000000000003,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.85,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.9000000000000004,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
2.95,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
3.0,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
3.0500000000000003,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
3.1,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
3.1500000000000004,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
3.2,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
3.25,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
3.3000000000000003,0.0,0.0,0.0,11.01,0.0,0.73,107.0,133.0,118.0,133.42
