Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.0,0.0,7.06,7.06,16.01,0.0,0.0,107.0,133.0,123.0,133.43,0.0,1.96,,,,,,,,,0.0
0.05,0.0,8.82,7.94,16.01,0.0,0.11,107.0,133.0,123.0,133.43,0.0,2.21,0.005,4.9,0.0,0.0,,,,,0.0
0.1,0.0,10.58,8.82,16.01,0.0,0.25,107.0,133.0,123.0,133.43,0.0,2.45,0.002,4.9,0.0,0.0,0.0,0.0,0.0,,0.0
0.15000000000000002,0.0,10.75,9.3,16.01,0.0,0.41,107.0,133.0,123.0,133.43,0.0,2.58,-0.004,2.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,7.77,9.0,16.01,0.0,0.53,107.0,133.0,123.0,133.43,0.0,2.5,0.002,-1.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,4.89,8.31,16.01,0.0,0.61,107.0,133.0,123.0,133.43,0.0,2.31,0.001,-3.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.29,7.17,16.01,0.0,0.64,107.0,133.0,123.0,133.43,0.0,1.99,-0.0,-6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.07,1.26,6.43,16.01,0.0,0.65,107.0,133.0,123.0,133.43,0.02,1.79,0.367,-4.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.06,0.96,5.82,16.01,0.0,0.66,107.0,133.0,123.0,133.43,0.02,1.62,-0.061,-3.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.06,0.91,5.33,16.01,0.0,0.67,107.0,133.0,123.0,133.43,0.02,1.48,0.005,-2.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.06,0.85,4.71,16.01,0.0,0.68,107.0,133.0,123.0,133.43,0.02,1.31,0.042,-3.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.05,0.8,3.91,16.01,0.0,0.69,107.0,133.0,123.0,133.43,0.01,1.09,-0.08,-4.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.07,0.75,2.92,16.01,0.0,0.69,107.0,133.0,123.0,133.43,0.02,0.81,0.119,-5.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.04,0.7,1.92,16.01,0.0,0.7,107.0,133.0,123.0,133.43,0.01,0.53,-0.17,-5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
